searge,name,desc
f_119957_,DEBUG_COMPARISONS,
f_119963_,offsets,
f_174964_,END_OF_DATA,
f_174963_,END_OF_TEXT_MARKER,
f_119962_,suffixToT,
f_119958_,DEBUG_ARRAY,
f_119959_,LOGGER,
f_119956_,list,
f_119961_,wordStarts,
f_119964_,maxStringLength,
f_119960_,chars,
f_143670_,val$target,
f_143671_,this$0,
f_243930_,val$level,
f_143689_,$SwitchMap$net$minecraft$world$level$block$entity$CommandBlockEntity$Mode,
f_143690_,$SwitchMap$net$minecraft$network$protocol$game$ServerboundPlayerActionPacket$Action,
f_143692_,$SwitchMap$net$minecraft$network$protocol$game$ServerboundClientCommandPacket$Action,
f_143691_,$SwitchMap$net$minecraft$network$protocol$game$ServerboundPlayerCommandPacket$Action,
f_200941_,realmsError,
f_200940_,rawResponse,
f_87773_,httpResultCode,
f_145958_,ROOT,
f_87142_,endpoint,
f_87141_,name,
f_154886_,NEXT_BY_BLOCK,
f_154887_,PREVIOUS_BY_BLOCK,
f_241623_,head,
f_243910_,closed,
f_241610_,LOGGER,
f_244461_,checkedExecutor,
f_165335_,add,
f_165334_,enchantments,
f_39974_,LOOM,
f_265869_,requiredFeatures,
f_39969_,ENCHANTMENT,
f_39966_,BLAST_FURNACE,
f_39979_,CARTOGRAPHY_TABLE,
f_39965_,BEACON,
f_39975_,MERCHANT,
f_39970_,FURNACE,
f_39980_,STONECUTTER,
f_39964_,ANVIL,
f_39963_,GENERIC_3x3,
f_39968_,CRAFTING,
f_39957_,GENERIC_9x1,
f_39958_,GENERIC_9x2,
f_39959_,GENERIC_9x3,
f_39960_,GENERIC_9x4,
f_39961_,GENERIC_9x5,
f_39962_,GENERIC_9x6,
f_39967_,BREWING_STAND,
f_39978_,SMOKER,
f_39981_,constructor,
f_39977_,SMITHING,
f_39972_,HOPPER,
f_39973_,LECTERN,
f_39976_,SHULKER_BOX,
f_39971_,GRINDSTONE,
f_146324_,totalWeight,
f_146325_,items,
f_156076_,causesVibration,
f_156075_,name,
f_118129_,location,
f_118130_,LOGGER,
f_185788_,totalBytes,
f_185789_,UNKNOWN_THREAD,
f_185787_,threadName,
f_185786_,timestamp,
f_76195_,LAVA,
f_76192_,FLOWING_WATER,
f_76194_,FLOWING_LAVA,
f_76191_,EMPTY,
f_76193_,WATER,
f_205014_,CODEC,
f_205016_,id,
f_100161_,ingredient,
f_100160_,this$0,
f_100162_,x,
f_100163_,y,
f_146414_,min,
f_146411_,CODEC,
f_146415_,max,
f_146412_,mean,
f_146413_,deviation,
f_26406_,speedModifier,
f_26407_,closeEnoughDist,
f_26405_,target,
f_113363_,minecraft,
f_113366_,data,
f_113365_,radius,
f_113364_,lastUpdateTime,
f_13549_,nextId,
f_144606_,LOADFACTOR,
f_13550_,size,
f_13546_,keys,
f_13547_,values,
f_144605_,NOT_FOUND,
f_13545_,EMPTY_SLOT,
f_13548_,byId,
f_208217_,CODEC,
f_208216_,DIRECT_CODEC,
f_208218_,HOLDER_HELPER_CODEC,
f_51626_,val$entity,
f_148305_,SCAN_RATE,
f_51645_,$SwitchMap$net$minecraft$core$Direction,
f_107945_,sprite,
f_244644_,CODEC,
f_244018_,name,
f_29583_,this$0,
f_285559_,compositePredicates,
f_285622_,conditions,
f_285567_,ANY,
f_236267_,pathProvider,
f_124431_,LOGGER,
f_243940_,requiredTables,
f_124434_,subProviders,
f_243837_,head,
f_243938_,SADDLE,
f_244155_,BRIDLE,
f_273934_,BABY_SCALE,
f_244519_,root,
f_267464_,WALK_ANIMATION_SCALE_FACTOR,
f_243743_,ridingParts,
f_244588_,saddleParts,
f_244125_,MAX_WALK_ANIMATION_SPEED,
f_273950_,BABY_Y_OFFSET,
f_244351_,REINS,
f_139136_,ERROR_INVALID_OBJECTIVE,
f_139135_,ERROR_NOT_PRIMED,
f_120082_,LOGGER,
f_120081_,UNIQUE_THREAD_ID,
f_114052_,DOLPHIN_LOCATION,
f_276636_,$SwitchMap$net$minecraft$world$entity$Display$TextDisplay$Align,
f_144839_,UUID_VERSION_TYPE_4,
f_144840_,UUID_VARIANT,
f_144843_,ONE_SIXTH,
f_13996_,RANDOM,
f_13997_,MULTIPLY_DE_BRUIJN_BIT_POSITION,"Though it looks like an array, this is really more like a mapping. Key (index of this array) is the upper 5 bits of the result of multiplying a 32-bit unsigned integer by the B(2, 5) De Bruijn sequence 0x077CB531. Value (value stored in the array) is the unique index (from the right) of the leftmo"
f_144832_,TWO_PI,
f_144838_,UUID_VERSION,
f_144834_,RAD_TO_DEG,
f_144835_,EPSILON,
f_13998_,FRAC_BIAS,
f_14000_,COS_TAB,
f_144844_,FRAC_EXP,
f_144841_,UUID_VARIANT_2,
f_13994_,SQRT_OF_TWO,
f_144845_,LUT_SIZE,
f_13999_,ASIN_TAB,
f_13995_,SIN,
f_144830_,PI,
f_144842_,SIN_SCALE,
f_144833_,DEG_TO_RAD,
f_144831_,HALF_PI,
f_252468_,onPress,
f_252431_,createNarration,
f_252510_,width,
f_256855_,tooltip,
f_252538_,x,
f_252462_,y,
f_252401_,message,
f_252447_,height,
f_28445_,landTargetGoal,
f_28447_,fishTargetGoal,
f_28439_,DATA_TRUSTED_ID_0,
f_28440_,DATA_TRUSTED_ID_1,
f_28446_,turtleEggTargetGoal,
f_28435_,crouchAmountO,
f_148901_,FLAG_FACEPLANTED,
f_148897_,FLAG_INTERESTED,
f_148902_,FLAG_DEFENDING,
f_28438_,DATA_FLAGS_ID,
f_28443_,STALKABLE_PREY,
f_148898_,FLAG_POUNCING,
f_148900_,FLAG_SLEEPING,
f_28448_,interestedAngle,
f_28437_,DATA_TYPE_ID,
f_148903_,MIN_TICKS_BEFORE_EAT,
f_28434_,crouchAmount,
f_28436_,ticksSinceEaten,
f_28442_,TRUSTED_TARGET_SELECTOR,
f_28433_,interestedAngleO,
